identifier_Id,lot_lotnum,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_coolingtype,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
140,20,0.55,7900,POOL,9,Subdivision 4,TX1,1139 Main St,City9,ZIP2-39,ZIP3-39,ROOFTOP,CO139,Condo,Residential,2014,Y,,Electric,1278,1478,1378,1228,Actual,1328,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,239,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,239000,119
141,1,0.1,8000,NO POOL,0,Subdivision 0,TX2,1140 Main St,City0,ZIP2-40,ZIP3-40,ROOFTOP,CO140,Single Family,Residential,2015,N,Central,Electric,1280,1480,1380,1230,Actual,1330,4,2.5,0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,240,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,240000,120
142,2,0.15,8100,POOL,1,Subdivision 1,TX0,1141 Main St,City1,ZIP2-41,ZIP3-41,ROOFTOP,CO141,Condo,Residential,2016,Y,,Gas,1282,1482,1382,1232,Actual,1332,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,241,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,241000,121
143,3,0.2,8200,NO POOL,2,Subdivision 2,TX1,1142 Main St,City2,ZIP2-42,ZIP3-42,ROOFTOP,CO142,Single Family,Residential,2017,Y,Central,Electric,1284,1484,1384,1234,Actual,1334,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,242,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,242000,122
144,4,0.25,8300,POOL,3,Subdivision 3,TX2,1143 Main St,City3,ZIP2-43,ZIP3-43,ROOFTOP,CO143,Condo,Residential,2018,Y,,Electric,1286,1486,1386,1236,Actual,1336,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,243,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,243000,123
145,5,0.3,8400,NO POOL,4,Subdivision 4,TX0,1144 Main St,City4,ZIP2-44,ZIP3-44,ROOFTOP,CO144,Single Family,Residential,2019,Y,Central,Gas,1288,1488,1388,1238,Actual,1338,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,244,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,244000,124
146,6,0.35,8500,POOL,5,Subdivision 0,TX1,1145 Main St,City5,ZIP2-45,ZIP3-45,ROOFTOP,CO145,Condo,Residential,2020,Y,,Electric,1290,1490,1390,1240,Actual,1340,3,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,245,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,245000,125
147,7,0.4,8600,NO POOL,6,Subdivision 1,TX2,1146 Main St,City6,ZIP2-46,ZIP3-46,ROOFTOP,CO146,Single Family,Residential,2021,Y,Central,Electric,1292,1492,1392,1242,Actual,1342,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,246,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,246000,126
148,8,0.45,8700,POOL,7,Subdivision 2,TX0,1147 Main St,City7,ZIP2-47,ZIP3-47,ROOFTOP,CO147,Condo,Residential,2022,Y,,Gas,1294,1494,1394,1244,Actual,1344,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,247,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,247000,127
149,9,0.5,8800,NO POOL,8,Subdivision 3,TX1,1148 Main St,City8,ZIP2-48,ZIP3-48,ROOFTOP,CO148,Single Family,Residential,2023,Y,Central,Electric,1296,1496,1396,1246,Actual,1346,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,248,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,248000,128
150,10,0.55,8900,POOL,9,Subdivision 4,TX2,1149 Main St,City9,ZIP2-49,ZIP3-49,ROOFTOP,CO149,Condo,Residential,2024,Y,,Electric,1298,1498,1398,1248,Actual,1348,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,249,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,249000,129
151,11,0.1,4000,NO POOL,0,Subdivision 0,TX0,1150 Main St,City0,ZIP2-50,ZIP3-0,ROOFTOP,CO150,Single Family,Residential,1950,N,Central,Gas,1300,1500,1400,1250,Actual,1350,2,2.5,500,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,250,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,250000,100
152,12,0.15,4100,POOL,1,Subdivision 1,TX1,1151 Main St,City1,ZIP2-51,ZIP3-1,ROOFTOP,CO151,Condo,Residential,1951,Y,,Electric,1302,1502,1402,1252,Actual,1352,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,251,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,251000,101
153,13,0.2,4200,NO POOL,2,Subdivision 2,TX2,1152 Main St,City2,ZIP2-52,ZIP3-2,ROOFTOP,CO152,Single Family,Residential,1952,Y,Central,Electric,1304,1504,1404,1254,Actual,1354,4,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,252,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,252000,102
154,14,0.25,4300,POOL,3,Subdivision 3,TX0,1153 Main St,City3,ZIP2-53,ZIP3-3,ROOFTOP,CO153,Condo,Residential,1953,Y,,Gas,1306,1506,1406,1256,Actual,1356,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,253,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,253000,103
155,15,0.3,4400,NO POOL,4,Subdivision 4,TX1,1154 Main St,City4,ZIP2-54,ZIP3-4,ROOFTOP,CO154,Single Family,Residential,1954,Y,Central,Electric,1308,1508,1408,1258,Actual,1358,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,254,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,254000,104
156,16,0.35,4500,POOL,5,Subdivision 0,TX2,1155 Main St,City5,ZIP2-55,ZIP3-5,ROOFTOP,CO155,Condo,Residential,1955,Y,,Electric,1310,1510,1410,1260,Actual,1360,4,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,255,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,255000,105
157,17,0.4,4600,NO POOL,6,Subdivision 1,TX0,1156 Main St,City6,ZIP2-56,ZIP3-6,ROOFTOP,CO156,Single Family,Residential,1956,Y,Central,Gas,1312,1512,1412,1262,Actual,1362,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,256,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,256000,106
158,18,0.45,4700,POOL,7,Subdivision 2,TX1,1157 Main St,City7,ZIP2-57,ZIP3-7,ROOFTOP,CO157,Condo,Residential,1957,Y,,Electric,1314,1514,1414,1264,Actual,1364,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,257,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,257000,107
159,19,0.5,4800,NO POOL,8,Subdivision 3,TX2,1158 Main St,City8,ZIP2-58,ZIP3-8,ROOFTOP,CO158,Single Family,Residential,1958,Y,Central,Electric,1316,1516,1416,1266,Actual,1366,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,258,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,258000,108
160,20,0.55,4900,POOL,9,Subdivision 4,TX0,1159 Main St,City9,ZIP2-59,ZIP3-9,ROOFTOP,CO159,Condo,Residential,1959,Y,,Gas,1318,1518,1418,1268,Actual,1368,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,259,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,259000,109
161,1,0.1,5000,NO POOL,0,Subdivision 0,TX1,1160 Main St,City0,ZIP2-60,ZIP3-10,ROOFTOP,CO160,Single Family,Residential,1960,N,Central,Electric,1320,1520,1420,1270,Actual,1370,3,2.5,0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,260,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,260000,110
162,2,0.15,5100,POOL,1,Subdivision 1,TX2,1161 Main St,City1,ZIP2-61,ZIP3-11,ROOFTOP,CO161,Condo,Residential,1961,Y,,Electric,1322,1522,1422,1272,Actual,1372,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,261,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,261000,111
163,3,0.2,5200,NO POOL,2,Subdivision 2,TX0,1162 Main St,City2,ZIP2-62,ZIP3-12,ROOFTOP,CO162,Single Family,Residential,1962,Y,Central,Gas,1324,1524,1424,1274,Actual,1374,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,262,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,262000,112
164,4,0.25,5300,POOL,3,Subdivision 3,TX1,1163 Main St,City3,ZIP2-63,ZIP3-13,ROOFTOP,CO163,Condo,Residential,1963,Y,,Electric,1326,1526,1426,1276,Actual,1376,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,263,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,263000,113
165,5,0.3,5400,NO POOL,4,Subdivision 4,TX2,1164 Main St,City4,ZIP2-64,ZIP3-14,ROOFTOP,CO164,Single Family,Residential,1964,Y,Central,Electric,1328,1528,1428,1278,Actual,1378,4,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,264,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,264000,114
166,6,0.35,5500,POOL,5,Subdivision 0,TX0,1165 Main St,City5,ZIP2-65,ZIP3-15,ROOFTOP,CO165,Condo,Residential,1965,Y,,Gas,1330,1530,1430,1280,Actual,1380,2,3.0,500,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,265,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,265000,115
167,7,0.4,5600,NO POOL,6,Subdivision 1,TX1,1166 Main St,City6,ZIP2-66,ZIP3-16,ROOFTOP,CO166,Single Family,Residential,1966,Y,Central,Electric,1332,1532,1432,1282,Actual,1382,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,266,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,266000,116
168,8,0.45,5700,POOL,7,Subdivision 2,TX2,1167 Main St,City7,ZIP2-67,ZIP3-17,ROOFTOP,CO167,Condo,Residential,1967,Y,,Electric,1334,1534,1434,1284,Actual,1384,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,267,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,267000,117
169,9,0.5,5800,NO POOL,8,Subdivision 3,TX0,1168 Main St,City8,ZIP2-68,ZIP3-18,ROOFTOP,CO168,Single Family,Residential,1968,Y,Central,Gas,1336,1536,1436,1286,Actual,1386,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,268,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,268000,118
170,10,0.55,5900,POOL,9,Subdivision 4,TX1,1169 Main St,City9,ZIP2-69,ZIP3-19,ROOFTOP,CO169,Condo,Residential,1969,Y,,Electric,1338,1538,1438,1288,Actual,1388,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,269,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,269000,119
171,11,0.1,6000,NO POOL,0,Subdivision 0,TX2,1170 Main St,City0,ZIP2-70,ZIP3-20,ROOFTOP,CO170,Single Family,Residential,1970,N,Central,Electric,1340,1540,1440,1290,Actual,1390,4,2.5,500,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,270,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,270000,120
172,12,0.15,6100,POOL,1,Subdivision 1,TX0,1171 Main St,City1,ZIP2-71,ZIP3-21,ROOFTOP,CO171,Condo,Residential,1971,Y,,Gas,1342,1542,1442,1292,Actual,1392,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,271,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,271000,121
173,13,0.2,6200,NO POOL,2,Subdivision 2,TX1,1172 Main St,City2,ZIP2-72,ZIP3-22,ROOFTOP,CO172,Single Family,Residential,1972,Y,Central,Electric,1344,1544,1444,1294,Actual,1394,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,272,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,272000,122
174,14,0.25,6300,POOL,3,Subdivision 3,TX2,1173 Main St,City3,ZIP2-73,ZIP3-23,ROOFTOP,CO173,Condo,Residential,1973,Y,,Electric,1346,1546,1446,1296,Actual,1396,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,273,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,273000,123
175,15,0.3,6400,NO POOL,4,Subdivision 4,TX0,1174 Main St,City4,ZIP2-74,ZIP3-24,ROOFTOP,CO174,Single Family,Residential,1974,Y,Central,Gas,1348,1548,1448,1298,Actual,1398,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,274,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,274000,124
176,16,0.35,6500,POOL,5,Subdivision 0,TX1,1175 Main St,City5,ZIP2-75,ZIP3-25,ROOFTOP,CO175,Condo,Residential,1975,Y,,Electric,1350,1550,1450,1300,Actual,1400,3,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,275,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,275000,125
177,17,0.4,6600,NO POOL,6,Subdivision 1,TX2,1176 Main St,City6,ZIP2-76,ZIP3-26,ROOFTOP,CO176,Single Family,Residential,1976,Y,Central,Electric,1352,1552,1452,1302,Actual,1402,4,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,276,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,276000,126
178,18,0.45,6700,POOL,7,Subdivision 2,TX0,1177 Main St,City7,ZIP2-77,ZIP3-27,ROOFTOP,CO177,Condo,Residential,1977,Y,,Gas,1354,1554,1454,1304,Actual,1404,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,277,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,277000,127
179,19,0.5,6800,NO POOL,8,Subdivision 3,TX1,1178 Main St,City8,ZIP2-78,ZIP3-28,ROOFTOP,CO178,Single Family,Residential,1978,Y,Central,Electric,1356,1556,1456,1306,Actual,1406,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,278,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,278000,128
180,20,0.55,6900,POOL,9,Subdivision 4,TX2,1179 Main St,City9,ZIP2-79,ZIP3-29,ROOFTOP,CO179,Condo,Residential,1979,Y,,Electric,1358,1558,1458,1308,Actual,1408,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,279,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,279000,129
181,1,0.1,7000,NO POOL,0,Subdivision 0,TX0,1180 Main St,City0,ZIP2-80,ZIP3-30,ROOFTOP,CO180,Single Family,Residential,1980,N,Central,Gas,1360,1560,1460,1310,Actual,1410,2,2.5,0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,280,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,280000,100
182,2,0.15,7100,POOL,1,Subdivision 1,TX1,1181 Main St,City1,ZIP2-81,ZIP3-31,ROOFTOP,CO181,Condo,Residential,1981,Y,,Electric,1362,1562,1462,1312,Actual,1412,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,281,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,281000,101
183,3,0.2,7200,NO POOL,2,Subdivision 2,TX2,1182 Main St,City2,ZIP2-82,ZIP3-32,ROOFTOP,CO182,Single Family,Residential,1982,Y,Central,Electric,1364,1564,1464,1314,Actual,1414,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,282,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,282000,102
184,4,0.25,7300,POOL,3,Subdivision 3,TX0,1183 Main St,City3,ZIP2-83,ZIP3-33,ROOFTOP,CO183,Condo,Residential,1983,Y,,Gas,1366,1566,1466,1316,Actual,1416,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,283,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,283000,103
185,5,0.3,7400,NO POOL,4,Subdivision 4,TX1,1184 Main St,City4,ZIP2-84,ZIP3-34,ROOFTOP,CO184,Single Family,Residential,1984,Y,Central,Electric,1368,1568,1468,1318,Actual,1418,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,284,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,284000,104
186,6,0.35,7500,POOL,5,Subdivision 0,TX2,1185 Main St,City5,ZIP2-85,ZIP3-35,ROOFTOP,CO185,Condo,Residential,1985,Y,,Electric,1370,1570,1470,1320,Actual,1420,4,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,285,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,285000,105
187,7,0.4,7600,NO POOL,6,Subdivision 1,TX0,1186 Main St,City6,ZIP2-86,ZIP3-36,ROOFTOP,CO186,Single Family,Residential,1986,Y,Central,Gas,1372,1572,1472,1322,Actual,1422,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,286,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,286000,106
188,8,0.45,7700,POOL,7,Subdivision 2,TX1,1187 Main St,City7,ZIP2-87,ZIP3-37,ROOFTOP,CO187,Condo,Residential,1987,Y,,Electric,1374,1574,1474,1324,Actual,1424,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,287,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,287000,107
189,9,0.5,7800,NO POOL,8,Subdivision 3,TX2,1188 Main St,City8,ZIP2-88,ZIP3-38,ROOFTOP,CO188,Single Family,Residential,1988,Y,Central,Electric,1376,1576,1476,1326,Actual,1426,4,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,288,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,288000,108
190,10,0.55,7900,POOL,9,Subdivision 4,TX0,1189 Main St,City9,ZIP2-89,ZIP3-39,ROOFTOP,CO189,Condo,Residential,1989,Y,,Gas,1378,1578,1478,1328,Actual,1428,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,289,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,289000,109
191,11,0.1,8000,NO POOL,0,Subdivision 0,TX1,1190 Main St,City0,ZIP2-90,ZIP3-40,ROOFTOP,CO190,Single Family,Residential,1990,N,Central,Electric,1380,1580,1480,1330,Actual,1430,3,2.5,500,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,290,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,290000,110
192,12,0.15,8100,POOL,1,Subdivision 1,TX2,1191 Main St,City1,ZIP2-91,ZIP3-41,ROOFTOP,CO191,Condo,Residential,1991,Y,,Electric,1382,1582,1482,1332,Actual,1432,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,291,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,291000,111
193,13,0.2,8200,NO POOL,2,Subdivision 2,TX0,1192 Main St,City2,ZIP2-92,ZIP3-42,ROOFTOP,CO192,Single Family,Residential,1992,Y,Central,Gas,1384,1584,1484,1334,Actual,1434,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,292,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,292000,112
194,14,0.25,8300,POOL,3,Subdivision 3,TX1,1193 Main St,City3,ZIP2-93,ZIP3-43,ROOFTOP,CO193,Condo,Residential,1993,Y,,Electric,1386,1586,1486,1336,Actual,1436,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,293,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,293000,113
195,15,0.3,8400,NO POOL,4,Subdivision 4,TX2,1194 Main St,City4,ZIP2-94,ZIP3-44,ROOFTOP,CO194,Single Family,Residential,1994,Y,Central,Electric,1388,1588,1488,1338,Actual,1438,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,294,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,294000,114
196,16,0.35,8500,POOL,5,Subdivision 0,TX0,1195 Main St,City5,ZIP2-95,ZIP3-45,ROOFTOP,CO195,Condo,Residential,1995,Y,,Gas,1390,1590,1490,1340,Actual,1440,2,3.0,500,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,295,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,295000,115
197,17,0.4,8600,NO POOL,6,Subdivision 1,TX1,1196 Main St,City6,ZIP2-96,ZIP3-46,ROOFTOP,CO196,Single Family,Residential,1996,Y,Central,Electric,1392,1592,1492,1342,Actual,1442,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,296,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,296000,116
198,18,0.45,8700,POOL,7,Subdivision 2,TX2,1197 Main St,City7,ZIP2-97,ZIP3-47,ROOFTOP,CO197,Condo,Residential,1997,Y,,Electric,1394,1594,1494,1344,Actual,1444,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,297,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,297000,117
199,19,0.5,8800,NO POOL,8,Subdivision 3,TX0,1198 Main St,City8,ZIP2-98,ZIP3-48,ROOFTOP,CO198,Single Family,Residential,1998,Y,Central,Gas,1396,1596,1496,1346,Actual,1446,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,298,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,298000,118
200,20,0.55,8900,POOL,9,Subdivision 4,TX1,1199 Main St,City9,ZIP2-99,ZIP3-49,ROOFTOP,CO199,Condo,Residential,1999,Y,,Electric,1398,1598,1498,1348,Actual,1448,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,299,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,299000,119
201,1,0.1,4000,NO POOL,0,Subdivision 0,TX2,1200 Main St,City0,ZIP2-0,ZIP3-0,ROOFTOP,CO200,Single Family,Residential,2000,N,Central,Electric,1400,1600,1500,1350,Actual,1450,4,2.5,0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,200,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,300000,120
202,2,0.15,4100,POOL,1,Subdivision 1,TX0,1201 Main St,City1,ZIP2-1,ZIP3-1,ROOFTOP,CO201,Condo,Residential,2001,Y,,Gas,1402,1602,1502,1352,Actual,1452,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,201,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,301000,121
203,3,0.2,4200,NO POOL,2,Subdivision 2,TX1,1202 Main St,City2,ZIP2-2,ZIP3-2,ROOFTOP,CO202,Single Family,Residential,2002,Y,Central,Electric,1404,1604,1504,1354,Actual,1454,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,202,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,302000,122
204,4,0.25,4300,POOL,3,Subdivision 3,TX2,1203 Main St,City3,ZIP2-3,ZIP3-3,ROOFTOP,CO203,Condo,Residential,2003,Y,,Electric,1406,1606,1506,1356,Actual,1456,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,203,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,303000,123
205,5,0.3,4400,NO POOL,4,Subdivision 4,TX0,1204 Main St,City4,ZIP2-4,ZIP3-4,ROOFTOP,CO204,Single Family,Residential,2004,Y,Central,Gas,1408,1608,1508,1358,Actual,1458,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,204,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,304000,124
206,6,0.35,4500,POOL,5,Subdivision 0,TX1,1205 Main St,City5,ZIP2-5,ZIP3-5,ROOFTOP,CO205,Condo,Residential,2005,Y,,Electric,1410,1610,1510,1360,Actual,1460,3,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,205,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,305000,125
207,7,0.4,4600,NO POOL,6,Subdivision 1,TX2,1206 Main St,City6,ZIP2-6,ZIP3-6,ROOFTOP,CO206,Single Family,Residential,2006,Y,Central,Electric,1412,1612,1512,1362,Actual,1462,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,206,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,306000,126
208,8,0.45,4700,POOL,7,Subdivision 2,TX0,1207 Main St,City7,ZIP2-7,ZIP3-7,ROOFTOP,CO207,Condo,Residential,2007,Y,,Gas,1414,1614,1514,1364,Actual,1464,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,207,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,307000,127
209,9,0.5,4800,NO POOL,8,Subdivision 3,TX1,1208 Main St,City8,ZIP2-8,ZIP3-8,ROOFTOP,CO208,Single Family,Residential,2008,Y,Central,Electric,1416,1616,1516,1366,Actual,1466,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,208,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,308000,128
210,10,0.55,4900,POOL,9,Subdivision 4,TX2,1209 Main St,City9,ZIP2-9,ZIP3-9,ROOFTOP,CO209,Condo,Residential,2009,Y,,Electric,1418,1618,1518,1368,Actual,1468,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,209,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,309000,129
